candidate,group,round,slot,candidate_type,status,search_der_percent,holdout_der_percent,reduction_pp,relative_reduction_percent,changed_fields,source_workspace,model_artifact,holdout_workspace,status_artifact
B-r1-i4,B,1,4,fine_tune,success,13.53375,10.175833333333335,-0.9275000000000047,-10.02883402414855,"[""training.learning_rate_wavlm""]",/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_3_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/63eac7daf9d57c8265ea323be89f9f3f27ce5be6fa7742464ce6797e6df4c3b6/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_4/run/workspace/exp_17_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_3_improve/artifacts/candidate_status.json
B-r2-i1,B,2,1,inference,execution_failed,,,,,[],/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_5_improve,,,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_5_improve/artifacts/candidate_status.json
B-r2-i2,B,2,2,inference,success,12.965000000000002,9.355,-0.10666666666667018,-1.1533609659398474,"[""inference.segmentation_step""]",/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_6_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/e23ae03cf39537443406ebbb65a470e62b761ce5fefdae59ea3affa0e981dbbb/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_5/run/workspace/exp_18_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_6_improve/artifacts/candidate_status.json
B-r2-i3,B,2,3,arch,success,12.62625,9.0875,0.16083333333333089,1.7390520814560921,"[""architecture.dropout""]",/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_7_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/a368932ed1130af78355305492760765b259b99d4d2049b86be71819de856cfd/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_0/run/workspace/exp_19_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_7_improve/artifacts/candidate_status.json
B-r2-i4,B,2,4,inference,success,15.13625,10.040833333333332,-0.7925000000000015,-8.569111551630943,"[""inference.ahc_threshold""]",/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_8_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/75ebf87cf06f8f8f6c7f3f0865026a0e93d2af21842c58cddee25aa3f015eef0/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_1/run/workspace/exp_20_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_8_improve/artifacts/candidate_status.json
B-r3-i1,B,3,1,fine_tune,success,13.65,10.8475,-1.5991666666666695,-17.291403856550765,"[""training.learning_rate_wavlm""]",/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_10_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/e956692d15264a0069c97947853e82e9deb3c687b0dcc92fc9e5f47ad9d3b4bc/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_2/run/workspace/exp_21_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_10_improve/artifacts/candidate_status.json
B-r3-i2,B,3,2,inference,success,16.994999999999997,16.309166666666666,-7.060833333333336,-76.34708956568755,"[""max_speakers"", ""min_cluster_size"", ""segmentation_step""]",/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_11_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/26810932899055a5181e7c344f64a97a162092b0108f70990a39e8b28eaa82d6/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_3/run/workspace/exp_22_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_11_improve/artifacts/candidate_status.json
B-r3-i3,B,3,3,inference,success,9.739999999999998,9.205,0.04333333333332995,0.46855289241301096,[],/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_29_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/6187ccb1b70732d94929e16413ef442939e35f9a72ab7a06aa8aa7ab360340d2/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_1/run/workspace/exp_1_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_29_improve/artifacts/candidate_status.json
B-r3-i4,B,3,4,fine_tune,success,13.161249999999999,10.24,-0.9916666666666698,-10.722652730221698,"[""training.learning_rate_wavlm"", ""training.candidate_options.wavlm_warmup_updates""]",/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_13_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/3e62b95e3d9ad15529afd26a7c80c3f99e322c5eae3547cb8f62ba7acdc96350/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_4/run/workspace/exp_23_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_13_improve/artifacts/candidate_status.json
B-r4-i1,B,4,1,inference,success,9.9075,9.661666666666669,-0.41333333333333777,-4.469273743016809,"[""inference.ahc_threshold""]",/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_15_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/507893154fd2d71143dbdaa3a8118f6d992ef267c1e1ebb86224d212f79861f3/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_5/run/workspace/exp_24_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_15_improve/artifacts/candidate_status.json
B-r4-i2,B,4,2,inference,success,9.9075,9.661666666666667,-0.4133333333333364,-4.469273743016794,"[""inference.ahc_threshold""]",/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_16_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/cd07e14d0b30757819b978f2c48c2f40e512c4f2f2558f5d9ad229a3242d5798/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_0/run/workspace/exp_25_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_16_improve/artifacts/candidate_status.json
B-r4-i3,B,4,3,inference,success,12.508750000000003,9.145833333333336,0.10249999999999565,1.1083078032077385,"[""inference.ahc_threshold"", ""inference.segmentation_step""]",/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_17_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/66e1668d5a675bc65cfa5af519e2bc47a031cd70971130443f0591d0f67778a0/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_1/run/workspace/exp_26_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_17_improve/artifacts/candidate_status.json
B-r4-i4,B,4,4,arch,success,12.71125,9.3325,-0.0841666666666685,-0.9100738871869006,"[""arch_config.attention_in"", ""arch_config.ffn_hidden"", ""arch_config.num_head"", ""arch_config.num_layer"", ""arch_config.use_posi"", ""source.diarizen/models/eend/model_wavlm_conformer.py"", ""source.diarizen/pipelines/inference.py""]",/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_18_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/d084e88f91c5288ca40f582b38971446ae79ac9ec22f6b28cc18e0d515f7cef1/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_2/run/workspace/exp_27_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_18_improve/artifacts/candidate_status.json
B-r5-i1,B,5,1,inference,success,25.43125,19.3675,-10.11916666666667,-109.41611101099305,"[""inference.segmentation_step""]",/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_20_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/db8540cc24d07fc6aacc8c42f9016de9787a3d2600c6e8549a2359d2eb57fdd0/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_3/run/workspace/exp_28_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_20_improve/artifacts/candidate_status.json
B-r5-i2,B,5,2,inference,success,25.692500000000003,19.03,-9.78166666666667,-105.76680482969911,"[""inference.min_cluster_size""]",/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_21_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/ff0c35bbf64e8c6a56733a2f60d73b2683cb23a6caaf22e261f13689b7cd8c44/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_4/run/workspace/exp_29_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_21_improve/artifacts/candidate_status.json
B-r5-i3,B,5,3,inference,success,8.5625,9.235833333333334,0.012499999999997236,0.1351594881960415,"[""inference.apply_median_filtering""]",/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_22_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/7c54346be9c49154efded24133c355f1079d4f9d978efe94faacea512b3c2b04/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_5/run/workspace/exp_30_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_22_improve/artifacts/candidate_status.json
B-r5-i4,B,5,4,inference,success,25.43125,19.3675,-10.11916666666667,-109.41611101099305,"[""inference.segmentation_step""]",/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_23_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/11e32dc88671137ce525f906642625d741ba378393bdb89d1941981b424cab42/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_0/run/workspace/exp_31_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_23_improve/artifacts/candidate_status.json
B-r6-i1,B,6,1,inference,success,9.74,9.205,0.04333333333332995,0.46855289241301096,[],/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_30_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/25985c2370c9cabbbf7177611eac6a872e6d2bfb4626d4553094794ba099a678/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_1/run/workspace/exp_32_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_30_improve/artifacts/candidate_status.json
B-r6-i2,B,6,2,inference,success,12.50875,9.145833333333332,0.10249999999999843,1.1083078032077687,"[""inference.ahc_threshold"", ""inference.segmentation_step""]",/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_26_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/model_artifacts/3db5220855f543bc210aed7de035fb2bbb66e21fa20e9fe24f53a777ce784d7e/manifest.json,/shared/chaolei.liu/SURE-Evolve/runs/sd_candidate_holdout_snapshot_20260917_134433/worker_2/run/workspace/exp_33_improve,/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace/exp_26_improve/artifacts/candidate_status.json
B-r6-i3,B,6,3,,not_generated,,,,,[],/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace,,,
B-r6-i4,B,6,4,,not_generated,,,,,[],/shared/chaolei.liu/SURE-Evolve/runs/sd_ablation_20260915_bf16_b48_v1/B/search/workspace,,,
